bugType,className,methodName,groundTruth,llmPrediction,confidence,result
"MS_EXPOSE_REP","spark.ExceptionMapper","getInstance","Manual Review","True Positive",0.9,"Manual Review"
"SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR","spark.ExceptionMapper","<init>","Manual Review","True Positive",0.9,"Manual Review"
"CT_CONSTRUCTOR_THROW","spark.QueryParamsMap","<init>","Manual Review","True Positive",0.9,"Manual Review"
"NP_BOOLEAN_RETURN_NULL","spark.QueryParamsMap","booleanValue","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP","spark.Request","bodyAsBytes","True Positive","True Positive",0.9,"True Positive (TP)"
"EI_EXPOSE_REP","spark.Request","headers","True Positive","True Positive",0.9,"True Positive (TP)"
"EI_EXPOSE_REP","spark.Request","session","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP","spark.Request","session","Manual Review","True Positive",0.95,"Manual Review"
"EI_EXPOSE_REP","spark.Response","raw","Manual Review","True Positive",0.9,"Manual Review"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.85,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"IS2_INCONSISTENT_SYNC","spark.Service",,"True Positive","True Positive",0.9,"True Positive (TP)"
"EI_EXPOSE_REP2","spark.Service$StaticFiles","<init>","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP","spark.Session","raw","Manual Review","True Positive",0.95,"Manual Review"
"DM_EXIT","spark.embeddedserver.jetty.EmbeddedJettyServer","extinguish","True Positive","True Positive",0.9,"True Positive (TP)"
"EI_EXPOSE_REP2","spark.embeddedserver.jetty.EmbeddedJettyServer","<init>","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP2","spark.embeddedserver.jetty.EmbeddedJettyServer","configureWebSockets","Manual Review","True Positive",0.9,"Manual Review"
"RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","spark.embeddedserver.jetty.EmbeddedJettyServer","ignite","Manual Review","True Positive",0.9,"Manual Review"
"WMI_WRONG_MAP_ITERATOR","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory","create","False Positive","True Positive",0.9,"False Positive (FP)"
"EI_EXPOSE_REP2","spark.http.matching.MatcherFilter","<init>","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP2","spark.http.matching.MatcherFilter","<init>","Manual Review","True Positive",0.95,"Manual Review"
"SF_SWITCH_NO_DEFAULT","spark.resource.UriPath","canonical","Manual Review","True Positive",0.9,"Manual Review"
"NP_LOAD_OF_KNOWN_NULL_VALUE","spark.route.Routes","findMultiple","Manual Review","True Positive",0.9,"Manual Review"
"MS_EXPOSE_REP","spark.route.ServletRoutes","get","Manual Review","True Positive",0.9,"Manual Review"
"EI_EXPOSE_REP2","spark.serialization.Serializer","setNext","Manual Review","True Positive",0.95,"Manual Review"
"IS2_INCONSISTENT_SYNC","spark.staticfiles.StaticFilesConfiguration",,"Manual Review","True Positive",0.9,"Manual Review"
"IS2_INCONSISTENT_SYNC","spark.staticfiles.StaticFilesConfiguration",,"Manual Review","True Positive",0.9,"Manual Review"
"IS2_INCONSISTENT_SYNC","spark.staticfiles.StaticFilesConfiguration",,"Manual Review","True Positive",0.9,"Manual Review"
"MS_SHOULD_BE_FINAL","spark.staticfiles.StaticFilesConfiguration",,"Manual Review","True Positive",0.9,"Manual Review"
"DM_DEFAULT_ENCODING","spark.utils.IOUtils","copy","True Positive","True Positive",0.9,"True Positive (TP)"
"CO_COMPARETO_INCORRECT_FLOATING","spark.utils.MimeParse$FitnessAndQuality","compareTo","Manual Review","True Positive",0.9,"Manual Review"
"EQ_COMPARETO_USE_OBJECT_EQUALS","spark.utils.MimeParse$FitnessAndQuality","compareTo","Manual Review","True Positive",0.9,"Manual Review"
"WMI_WRONG_MAP_ITERATOR","spark.utils.MimeParse$ParseResults","toString","Manual Review","True Positive",0.9,"Manual Review"
"DM_DEFAULT_ENCODING","spark.utils.StringUtils","toString","True Positive","True Positive",0.9,"True Positive (TP)"
"EI_EXPOSE_REP2","spark.utils.urldecoding.Utf8StringBuilder","<init>","Manual Review","True Positive",0.95,"Manual Review"
