Hybrid Code Review Prototype Report
===================================

Total SpotBugs Findings: 41

Finding{bugType='MS_EXPOSE_REP', className='spark.ExceptionMapper', methodName='getInstance', line=34, message='Public static method may expose internal representation by returning a mutable object or array'}
Finding{bugType='SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR', className='spark.ExceptionMapper', methodName='<init>', line=34, message='Class using singleton design pattern has non-private constructor.'}
Finding{bugType='CT_CONSTRUCTOR_THROW', className='spark.QueryParamsMap', methodName='<init>', line=34, message='Be wary of letting constructors throw exceptions.'}
Finding{bugType='NP_BOOLEAN_RETURN_NULL', className='spark.QueryParamsMap', methodName='booleanValue', line=34, message='Method with Boolean return type returns explicit null'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Request', methodName='bodyAsBytes', line=48, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Request', methodName='headers', line=48, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Request', methodName='session', line=48, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Request', methodName='session', line=48, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Response', methodName='raw', line=37, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='IS2_INCONSISTENT_SYNC', className='spark.Service', methodName='null', line=55, message='Inconsistent synchronization'}
Finding{bugType='EI_EXPOSE_REP2', className='spark.Service$StaticFiles', methodName='<init>', line=626, message='May expose internal representation by incorporating reference to mutable object'}
Finding{bugType='EI_EXPOSE_REP', className='spark.Session', methodName='raw', line=26, message='May expose internal representation by returning reference to mutable object'}
Finding{bugType='DM_EXIT', className='spark.embeddedserver.jetty.EmbeddedJettyServer', methodName='extinguish', line=55, message='Method invokes System.exit(...)'}
Finding{bugType='EI_EXPOSE_REP2', className='spark.embeddedserver.jetty.EmbeddedJettyServer', methodName='<init>', line=55, message='May expose internal representation by incorporating reference to mutable object'}
